Yayasan,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi
68,  20104439,Sekolah Menengah Atas Tunas Muda School,SPK SMA,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
68,  90101120,Taman Kanak-Kanak Tunas Muda School Kedoya,SPK TK,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
68,  20105793,Sekolah Dasar Tunas Muda School Kedoya,SPK SD,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
68,,SMP Tunas Muda School Kedoya,SPK SMP,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
68,,SMA Tunas Muda School Kedoya,SPK SMA,Kec. Kebon Jeruk,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
5,  70037490,KB Santa Theresia,KB,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
5,  69773301,TK Santa Theresia,TK,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
5,  20104812,SD Santa Theresia,SD,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
5,  20106431,SMP Santa Theresia,SMP,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
5,  20100198,SMA Santa Theresia,SMA,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
5,  20100300,SMK Santa Theresia,SMK,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
11,  20106369,SMP Kanisius,SMP,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
11,  20100170,SMA Kanisius,SMA,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,69820331,TK Budi Mulia,TK,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20110523,TK Sandika,TK,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20104810,SD Sandika,SD,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20109366,SDS Budi Mulia,SD,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20100247,SMP Van Lith,SMP,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,69820380,TK Budi Mulia,TK,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20104731,SD Budi Mulia,SD,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20106353,SMP Budi Mulia,SMP,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20107249,SMA Budi Mulia,SMA,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
10,20106269,SD Desa Putera,SD,Kec. Jagakarsa,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
10,20106947,SMP Desa Putera,SMP,Kec. Jagakarsa,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
10,20102551,SMKS Grafika Desa Putera Jakarta,SMK,Kec. Jagakarsa,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
8,,Bina Teknik,SMK,,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
25,  20111055,TK Melania I,TK,Kec. Taman Sari,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
25,  20108958,SD Melania I,SD,Kec. Taman Sari,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
25,  20106837,SMP Melania I,SMP,Kec. Taman Sari,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
25,  69820292,TK Melania Ii,TK,Kec. Cempaka Putih,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
25,  20104775,SD Melania Iii,SD,Kec. Cempaka Putih,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
25,  20100323,SMP Melania Ii,SMP,Kec. Cempaka Putih,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
26,  69995721,KB Santa Maria,KB,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
26,  69820350,TK Santa Maria,TK,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
26,  20104811,SD Santa Maria,SD,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
26,  20100320,SMP Santa Maria,SMP,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
26,  20100299,SMK Santa Maria,SMK,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
43,  20110529,TK Santo Yoseph,TK,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
43,  20104821,SDS Santo Yoseph,SD,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
43,  20106432,SMP Santo Yoseph,SMP,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
43,,SMA Santo Yoseph,SMA,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
31,  20104799,SD Paskalis I,SD,Kec. Johar Baru,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
31,  20104818,SD Santo Mikael,SD,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
31,  20106426,SMP Paskalis 1,SMP,Kec. Johar Baru,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
31,  20100316,SMP Paskalis 3,SMP,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
31,  20100173,SMAS Paskalis,SMA,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
46,  69830723,TKk Boncel,TK,Kec. Jagakarsa,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
46,  20104820,SDS Sint Yoseph,SD,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
46,  20106435,SMP Sint Joseph,SMP,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
46,  20100110,SMK Katolik Sint Joseph,SMK,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
46,,PSAA Vicentius Putra,PSAA,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
46,,PSAA Vicentius Putri,PSAA,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
46,,Desa Putra,PSAA,Kec. Jagakarsa,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
46,,Pindok Si Boncel,PSAA,Kec. Jagakarsa,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
48,69773314,TK Strada St John Berchmans,TK,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,20104837,SD Strada Van Lith I,SD,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,20100226,SMP Strada Mardi Utama 1,SMP,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,20100303,SMKS Strada 1 Jakarta,SMK,Kec. Kemayoran,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,20110540,TK Strada Bina Sejahtera,TK,Kec. Tanah Abang,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,20104824,SDS Strada Pejompongan,SD,Kec. Tanah Abang,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,20106437,SMP Strada Pelita Pejompongan,SMP,Kec. Tanah Abang,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,20107258,SMKS Strada Jakarta,SMK,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
48,69789206,TK Strada Bhakti Utama,TK,Kec. Pesanggrahan,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
48,20107003,SMP Strada Bhakti Utama,SMP,Kec. Pesanggrahan,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
48,20106317,SDS Strada Bhakti Utama,SD,Kec. Pesanggrahan,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
48,69830777,TK Strada Indriyasana,TK,Kec. Pasar Minggu,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
48,20106318,SDS Strada Wiyatasana,SD,Kec. Pasar Minggu,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
48,20102428,SMP Strada Marga Mulia,SMP,Kec. Pasar Minggu,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
48,20112185,TK Strada Santa Anna,TK,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
48,20109198,SDS Strada Dipamarga,SD,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
48,20109264,SDS Strada Van Lith Ii,SD,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
48,20108928,SMP Strada Santa Anna,SMP,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
48,20111269,TK Strada Dewi Sartika Ii,TK,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
48,20105770,SD Strada Bina Mulia I,SD,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
48,20108806,SMP Strada Pelita Ii,SMP,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
48,20107273,SMKS Strada Ii Jakarta,SMK,Kec. Taman Sari,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
48,69857145,TK Strada St Theresia,TK,Kec. Cilincing,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20105105,SDS Strada Tunas Keluarga Mulia I,SD,Kec. Cilincing,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20105106,SDS Std TKm Ii,SD,Kec. Cilincing,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20106656,SMP Strada St Fransiskus Xaverius Iii,SMP,Kec. Cilincing,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,69857041,TK Strada Santa Clara,TK,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20105108,SD Strada St Ignatius,SD,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20105110,SD Strada St Fransiskus Xaverius,SD,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20106674,SMP Strada Santo Fx-I,SMP,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20106675,SMP Strada Fx Ii,SMP,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20107463,SMKS Strada 3 Jakarta,SMK,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20105100,SDS Santo Petrus,SD,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20105109,SDS Strada Santo Paulus,SD,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
48,20615319,TK Strada Mgr Sugiyopranoto Sj,TK,Kec. Teluk naga,Kab. Tangerang,Prov. Banten
48,20604646,"SD Strada Mgr Sugiyopranoto,Sj",SD,Kec. Teluk naga,Kab. Tangerang,Prov. Banten
48,20603237,SMP Strada Bhakti Mulia,SMP,Kec. Teluk naga,Kab. Tangerang,Prov. Banten
48,70039377,TK Strada Yos Sudarso,TK,Kec. Curug,Kab. Tangerang,Prov. Banten
48,20604647,SDS Strada Yos Sudarso,SD,Kec. Curug,Kab. Tangerang,Prov. Banten
48,70000075,SMP Strada Yos Sudarso,SMP,Kec. Curug,Kab. Tangerang,Prov. Banten
48,20266332,TK Strada Bhakti Wiyata,TK,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat
48,20231624,SD Strada Bhakti Wiyata I,SD,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat
48,20231625,SD Strada Bhakti Wiyata Ii,SD,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat
48,20223016,SMP Strada Bhakti Wiyata,SMP,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat
48,20266262,TK Strada Budi Luhur,TK,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
48,20231626,SD Strada Budi Luhur I,SD,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
48,20231627,SD Strada Budi Luhur Ii,SD,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
48,20222997,SMP Strada Budi Luhur,SMP,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
48,70006118,SMA Strada Bhakti Wiyata,SMA,Kec. Bekasi Barat,Kota Bekasi,Prov. Jawa Barat
48,20223132,SMKS Strada Budi Luhur,SMK,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
48,20266264,TK Strada Nawar,TK,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat
48,20223654,SD Strada Nawar,SD,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat
48,20222995,SMP Strada Nawar,SMP,Kec. Jati Sampurna,Kota Bekasi,Prov. Jawa Barat
48,70002037,TK Strada Cakung,TK,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat
48,20231628,SD Strada Cakung,SD,Kec. Jatiasih,Kota Bekasi,Prov. Jawa Barat
48,20266263,TK Strada Kampung Sawah,TK,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat
48,20223641,SDk Strada Kampung Sawah,SD,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat
48,20222996,SMP Strada Kampung Sawah,SMP,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat
48,69755943,TKS Strada Bhakti Nusa,TK,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
48,20604659,SD Strada Bhakti Nusa,SD,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
48,20613765,SMP Strada Bhakti Nusa,SMP,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
48,69890523,TK Strada Dewi Sartika I,TK,Kec. Tangerang,Kota Tangerang,Prov. Banten
48,69912879,TK Strada Santa Maria 1,TK,Kec. Tangerang,Kota Tangerang,Prov. Banten
48,20607289,SD Strada St Fransiskus,SD,Kec. Tangerang,Kota Tangerang,Prov. Banten
48,20607290,SD Strada Santa Maria,SD,Kec. Tangerang,Kota Tangerang,Prov. Banten
48,20606795,SMP Strada Santa Maria 1,SMP,Kec. Tangerang,Kota Tangerang,Prov. Banten
48,69762097,TK Strada Dewi Sartika Iii,TK,Kec. Karawaci,Kota Tangerang,Prov. Banten
48,69803152,TK Strada Santa Maria Ii,TK,Kec. Karawaci,Kota Tangerang,Prov. Banten
48,20607299,SD Strada St Aloysius I,SD,Kec. Karawaci,Kota Tangerang,Prov. Banten
48,20606794,SMP Strada Santa Maria 2,SMP,Kec. Karawaci,Kota Tangerang,Prov. Banten
48,20606833,SMA Strada St Thomas Aquino,SMA,Kec. Karawaci,Kota Tangerang,Prov. Banten
48,20606914,SMKS Strada Daan Mogot,SMK,Kec. Karawaci,Kota Tangerang,Prov. Banten
48,20607010,SD Strada Slamet Riyadi 01,SD,Kec. Cibodas,Kota Tangerang,Prov. Banten
48,20607288,SD Strada Slamet Riyadi 2,SD,Kec. Cibodas,Kota Tangerang,Prov. Banten
48,20606793,SMP Strada Slamet Riyadi,SMP,Kec. Cibodas,Kota Tangerang,Prov. Banten
53,  69773303,TK Santo Fransiskus,TK,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
53,  20104815,SDS Santo Fransiskus I,SD,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
53,  20106434,SMP St Fransiskus I,SMP,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
53,  20100489,SMAS Fransiskus 1 Jakarta,SMA,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
53,  20100139,SMKS Franciskus 2,SMK,Kec. Senen,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
53,  20103220,SMAS Fransiskus 2 Jakarta,SMA,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
53,  20103561,SMKS Fransiskus 1 Jakarta,SMK,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
58,  20110525,TK Santa Ursula,TK,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
58,  20104813,SD Santa Ursula,SD,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
58,  20100321,SMP Santa Ursula,SMP,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
58,  20108383,SMA Santa Ursula,SMA,Kec. Sawah Besar,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
65,20109701,TK Tarakanita 5,TK,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
65,20109107,SD Tarakanita 5,SD,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
65,20107157,SMP Tarakanita 4,SMP,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
65,69856980,TK Tarakanita 4,TK,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
65,20105116,SD Tarakanita 4,SD,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
65,20106685,SMP Tarakanita 2,SMP,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
65,20100613,SMAS Tarakanita 2,SMA,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
65,69830947,TK Tarakanita I,TK,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,69831068,TK Tarakanita 2,TK,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20106324,SD Tarakanita 1,SD,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20106325,SD Tarakanita 2,SD,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20107007,SMP Tarakanita 1,SMP,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20107008,SMP Tarakanita 5,SMP,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20107334,SMA Tarakanita 1 Jakarta,SMA,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20102435,SMKS Tarakanita Jakarta,SMK,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,69830923,TK Tarakanita 3,TK,Kec. Kebayoran Lama,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20106326,SD Tarakanita 3,SD,Kec. Kebayoran Lama,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,20107009,SMP Tarakanita 3,SMP,Kec. Kebayoran Lama,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
65,60702884,TKS Tarakanita Gading Serpong,TK,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
65,20604652,SD Tarakanita Gading Serpong,SD,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
65,20603242,SMP Tarakanita Gading Serpong,SMP,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
