Yayasan,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi
65,20613524,SMAS Tarakanita Gading Serpong,SMA,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
65,20615406,TK Tarakanita,TK,Kec. Panongan,Kab. Tangerang,Prov. Banten
65,20604651,SDS Tarakanita Citra Raya,SD,Kec. Panongan,Kab. Tangerang,Prov. Banten
65,20613461,SMP Tarakanita Citra Raya,SMP,Kec. Panongan,Kab. Tangerang,Prov. Banten
65,20616138,SMAS Tarakanita Citra Raya,SMA,Kec. Panongan,Kab. Tangerang,Prov. Banten
64,  69820327,TK Santo Paulus I,TK,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20104819,SD S Santo Paulus 1,SD,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20106429,SMP St Paulus,SMP,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20100179,SMAS Santo Paulus Jakarta,SMA,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20100301,SMKS Santo Paulus,SMK,Kec. Gambir,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
64,  20111252,TK Santo Paulus,TK,Kec. Kali Deres,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
64,  20105761,SDS Santo Paulus Ii,SD,Kec. Kali Deres,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
64,  69981898,SMP Santo Paulus Ii,SMP,Kec. Kali Deres,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
64,  69762149,TK Santo Paulus Iii,TK,Kec. Batuceper,Kota Tangerang,Prov. Banten
64,  20614539,SD Santo Paulus Iii,SD,Kec. Batuceper,Kota Tangerang,Prov. Banten
2,  20112170,TK Santo Vincetius,TK,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
2,  20108433,SDS Santo Vincentius,SD,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
2,  20107153,SMP St Vincentius,SMP,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
15,  20109688,TK Santo Fransiskus,TK,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
15,  20109032,SD Santo Fransiskus Iii,SD,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
15,  20108988,SMP St Fransiskus Ii Jakarta,SMP,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
17,,TK Santa Maria Fatima,TK,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
17,  20103907,SD Santa Maria Fatima,SD,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
17,  20107152,SMP Santa Maria Fatima,SMP,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
36,  20109958,TK Ignatius Slamet Riyadi,TK,Kec. Pasar Rebo,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
36,,TK Ignatius Slamet Riyadi 2,TK,Kec. Pasar Rebo,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
36,  20109193,SDS Ignatius Slamet Riyadi Ii,SD,Kec. Pasar Rebo,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
36,  20109219,SDk Ignatius Slamet Riyadi I,SD,Kec. Pasar Rebo,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
36,  20107089,SMP Ignatius Slamet Riyadi,SMP,Kec. Pasar Rebo,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
36,  20103238,SMAS Ign Slamet Riyadi,SMA,Kec. Pasar Rebo,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
70,  20109632,TK St Antonius Matraman,TK,Kec. Matraman,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
70,  20108372,SDS Antonius,SD,Kec. Matraman,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
70,,SMP Antonius,SMP,Kec. Matraman,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
29,  69857089,TK Don Bosco I,TK,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
29,  20105024,SDS Don Bosco I,SD,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
29,  20100838,SMP Don Bosco I,SMP,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
29,  20100616,SMAS Don Bosco 1 Jakarta,SMA,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
29,  20109676,TK Don Bosco Ii,TK,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
29,  20108850,SD Don Bosco Ii,SD,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
29,  20108851,SMP Don Bosco Ii,SMP,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
29,  20103203,SMAS Don Bosco 2 Jakarta,SMA,Kec. Pulo Gadung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
29,  69826371,TK Don Bosco Iii,TK,Kec. Cikarang Selatan,Kab. Bekasi,Prov. Jawa Barat
29,  20246378,SD Don Bosco Iii,SD,Kec. Cikarang Selatan,Kab. Bekasi,Prov. Jawa Barat
29,  20237943,SMP Don Bosco Iii,SMP,Kec. Cikarang Selatan,Kab. Bekasi,Prov. Jawa Barat
29,  20253810,SMAS Don Bosco Iii,SMA,Kec. Cikarang Selatan,Kab. Bekasi,Prov. Jawa Barat
44,  20110116,TK Budhaya Ii Santo Agustinus,TK,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
44,  20109124,SD Budhaya Ii Santo Agustinus,SD,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
44,  20107065,SMP Budhaya Iii Santo Agustinus,SMP,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
44,  20103216,SMAS Budhaya 2 St Agustinus,SMA,Kec. Duren Sawit,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
37,,TK Santo Antonius,TK,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
37,  20108864,SDS Santo Antonius I,SD,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
37,  20107150,SMP St Antonius,SMP,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
37,  20103197,SMAS St Antonius Jakarta,SMA,Kec. Jatinegara,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
56,  20110099,TK Santo Markus,TK,Kec. Kramat Jati,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
56,  20103899,SDS Santo Markus,SD,Kec. Kramat Jati,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
56,  20103491,SMP Santo Markus,SMP,Kec. Kramat Jati,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
56,  20110236,TK Santo Markus Ii,TK,Kec. Cipayung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
56,  20109015,SD Santo Markus Ii,SD,Kec. Cipayung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
56,  20107146,SMP Santo Markus Ii,SMP,Kec. Cipayung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
41,  20109858,TK Santo Yoseph,TK,Kec. Cakung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
41,  20103904,SD Santo Yoseph,SD,Kec. Cakung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
41,  20107147,SMP Santo Yoseph,SMP,Kec. Cakung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
41,  20103196,SMAS Santo Yoseph Jakarta,SMA,Kec. Cakung,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
9,  69769698,TK Maria Mediatrix,TK,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
9,  20604623,SD Maria Mediatrix,SD,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
9,  20603552,SMP Maria Mediatrix,SMP,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
9,  20603352,SMAS Maria Mediatrik,SMA,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
9,  20603261,SMKS Maria Mediatrix,SMK,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
49,20614807,TK Maria Immaculata,TK,Kec. Cipondoh,Kota Tangerang,Prov. Banten
49,20606586,SDS Maria Immaculata,SD,Kec. Cipondoh,Kota Tangerang,Prov. Banten
49,20606681,SMP Maria Immaculata,SMP,Kec. Cipondoh,Kota Tangerang,Prov. Banten
7,  69866324,TK Bhakti Prima,TK,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
7,  20604418,SD Bhakti Prima,SD,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
7,  20603642,SMP Bhakti Prima,SMP,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
7,  70037968,SMA Katolik Bhakti Prima,SMA,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
51,  69979793,KB Santa Ursula,KB,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
51,  69866302,TK Santa Ursula BSD,TK,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
51,  20604672,SD Santa Ursula BSD,SD,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
51,  20603217,SMP Santa Ursula BSD,SMP,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
51,  20603376,SMA Santa Ursula BSD,SMA,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
40,  69895623,TK St Johns Catholic School,TK,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
40,  20613807,SD Saint Johns Catholic School,SPK SD,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
40,  20613808,SMP Saint Johns Catholic School,SPK SMP,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
40,  20613806,SMA Saint John`S Catholic School,SPK SMA,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
40,  69909406,TK Saint Johns School,TK,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
40,  20108328,SDS Saint John S School,SD,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
40,  20108518,SMP Saint John S School,SMP,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
40,  20177837,SMAS Saint Johns School,SMA,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
67,  69755938,TKS Santa Laurensia,TK,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
67,  20604673,SD Santa Laurensia,SPK SD,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
67,  20613927,SMP Santa Laurensia,SPK SMP,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
67,  20613520,SMAS Santa Laurensia,SPK SMA,Kec. Serpong Utara,Kota Tangerang Selatan,Prov. Banten
67,  69984699,TK Santa Laurensia Suvarna Sutera,TK,Kec. Sindang Jaya,Kab. Tangerang,Prov. Banten
67,  69979161,SD Santa Laurensia Suvarna Sutera,SD,Kec. Sindang Jaya,Kab. Tangerang,Prov. Banten
67,  69979160,SMP Santa Laurensia Suvarna Sutera,SMP,Kec. Sindang Jaya,Kab. Tangerang,Prov. Banten
67,  69987588,SMA Santa Laurensia Suvarna Sutera,SMA,Kec. Sindang Jaya,Kab. Tangerang,Prov. Banten
34,  69905415,TK Fioretti Tigaraksa,TK,Kec. Tiga raksa,Kab. Tangerang,Prov. Banten
34,  20614271,SDS Fioretti Tigaraksa,SD,Kec. Tiga raksa,Kab. Tangerang,Prov. Banten
34,  20614348,SMPS Fioretti,SMP,Kec. Tiga raksa,Kab. Tangerang,Prov. Banten
21,  69866286,TK Stella Maris School,TK,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
21,  20604618,SD Stella Maris,SD,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
21,  20603236,SMP Stella Maris,SMP,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
21,  20603377,SMAS Stella Maris BSD,SMA,Kec. Serpong,Kota Tangerang Selatan,Prov. Banten
21,  69963806,TK Stella Maris School,TK,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
21,  69888752,SD Stella Maris School,SPK SD,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
21,  20622284,SMP Stella Maris School,SPK SMP,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
21,  69883655,SMAS Stella Maris School,SPK SMA,Kec. Kelapa Dua,Kab. Tangerang,Prov. Banten
47,,TK Mater Dei,TK,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
47,,SD Mater Dei,SD,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
47,,SMP Mater Dei,SMP,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
47,,SMA Mater Dei,SMA,Kec. Pamulang,Kota Tangerang Selatan,Prov. Banten
13,  69909241,TK Santa Patricia,TK,Kec. Benda,Kota Tangerang,Prov. Banten
13,  20606474,SD Santa Patricia,SD,Kec. Benda,Kota Tangerang,Prov. Banten
13,  20606797,SMP Santa Patricia,SMP,Kec. Benda,Kota Tangerang,Prov. Banten
13,  20606835,SMAS Santa Patricia,SMA,Kec. Benda,Kota Tangerang,Prov. Banten
4,  69857102,TK Marie Joseph,TK,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
4,  20109384,SD Marie Joseph,SD,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
4,  20109255,SMP Marie Joseph,SMP,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
4,  20109180,SMAS Marie Joseph,SMA,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
63,  69856998,TK Santo Paulus,TK,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
63,  20105099,SDS Katolik Santo Paulus,SD,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
63,  20100730,SMP Katolik Santo Paulus,SMP,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
61,  69856960,TK Stella Maris,TK,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
61,  20105107,SDS Stella Maris,SD,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
61,  20106672,SMP Stella Maris,SMP,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
61,  20107393,SMAS Stella Maris Jakarta,SMA,Kec. Penjaringan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
42,  20110769,TK Santo Lukas I,TK,Kec. Pademangan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
42,  20105097,SDS Santo Lukas I,SD,Kec. Pademangan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
42,  20106670,SMP Santa Maria Della Strada,SMP,Kec. Pademangan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
42,  20107394,SMAS St Maria Della Strada,SMA,Kec. Pademangan,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
39,  69856999,TK Santo Lukas Penginjil,TK,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
39,  20105098,SDS Santo Lukas Iii Penginjil,SD,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
39,  20100729,SMP St Lukas Ii,SMP,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
39,  20107391,SMAS Santo Lukas 1 Jakarta,SMA,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
39,  20107462,SMKS Spes Patriae,SMK,Kec. Tanjung Priok,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
57,  69857107,TK Santo Yakobus,TK,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
57,  20105101,SDS Santo Yakobus,SD,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
57,  20109271,SMP Santo Yakobus,SMP,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
57,  20100799,SMAS Santo Yakobus Jakarta,SMA,Kec. Kelapa Gading,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
33,  69830813,TK Charitas St Stephanus,TK,Kec. Cilandak,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
33,  20106265,SDS Charitas St Stephanus,SD,Kec. Cilandak,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
33,  20102410,SMP Charitas,SMP,Kec. Cilandak,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
33,  20107289,SMA Charitas,SMA,Kec. Cilandak,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
54,  69830994,TK Asisi,TK,Kec. Tebet,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
54,  20102746,SDS Asisi I,SD,Kec. Tebet,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
54,  20106933,SMP Asisi,SMP,Kec. Tebet,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
54,  20107278,SMAS Asisi Jakarta,SMA,Kec. Tebet,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
54,  20102537,SMK Asisi,SMK,Kec. Tebet,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
30,69830831,TK Pangudi Luhur,TK,Kec. Cilandak,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
30,20106310,SD Pangudi Luhur,SD,Kec. Cilandak,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
30,20102418,SMP Pangudi Luhur,SMP,Kec. Cilandak,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
30,20107322,SMAS Pangudi Luhur Jakarta,SMA,Kec. Kebayoran Baru,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
30,20108949,SLB B Pangudi Luhur,SLB,Kec. Kembangan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
30,69825992,TK Pangudi Luhur Bernardus,TK,Kec. Cikarang Pusat,Kab. Bekasi,Prov. Jawa Barat
30,20258248,SD Pangudi Luhur Bernardus,SD,Kec. Cikarang Pusat,Kab. Bekasi,Prov. Jawa Barat
30,20271045,SMP Pangudi Luhur Bernardus,SMP,Kec. Cikarang Pusat,Kab. Bekasi,Prov. Jawa Barat
30,69864644,SMAS Pangudi Luhur Bernardus,SMA,Kec. Cikarang Pusat,Kab. Bekasi,Prov. Jawa Barat
30,,TK Pangudi Luhur Ii Servasius,TK,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat
30,,SD Pangudi Luhur Ii Servasius,SD,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat
30,20223068,SMAS Pangudi Luhur Ii Servasius,SMA,Kec. Pondok Melati,Kota Bekasi,Prov. Jawa Barat
69,  20107299,SMAS Gonzaga Jakarta,SMA,Kec. Pasar Minggu,Kota Adm. Jakarta Selatan,Prov. D.K.I. Jakarta
